tweet;emotion;Neutral,''- (10/10) gw suka jadi wanita misterius - (100/10) omg lucu banget capa ini - (8/10) ni pasti temen smp - (8,5/10) do you get deja vuu''
''/ju mbl mbl murah banget loochh ayo guys join go miracle, suka dr0p jajan murce rd sering open sh4ring merch juga dan sekarang lagi open tabungan buat cb bangtan baru dr0p jimin unyel nih, yuk gass join link di rep yaa'';Neutral;Neutral,'': aku menemukan kentang goreng yang sangat enak : aku akan memberitahu kalian nanti : tunggu saja : tidak sekarang, karena apa saja bisa dijadikan konten : aku akan melakukan apapun dengan diriku sendiri : jadi ini memakan waktu yang lama ^_^''
'': aku menemukan kentang goreng yang sangat enak : aku akan memberitahu kalian nanti : tunggu saja : tidak sekarang, karena apa saja bisa dijadikan konten : aku akan melakukan apapun dengan diriku sendiri : jadi ini memakan waktu yang lama ^_^'';Neutral;Neutral,'': aku mengganti handukku : kalian ingin tahu merek handukku? nanti saja ^_^!! hahaha : ini bisa dijadikan konten haha : baiklah selamat malam untuk hari ini!''
'': aku mengganti handukku : kalian ingin tahu merek handukku? nanti saja ^_^!! hahaha : ini bisa dijadikan konten haha : baiklah selamat malam untuk hari ini!'';Neutral;Fear,'': harap-harap cemas..''
'': harap-harap cemas..'';Fear;Neutral,'': kurasa kita akan sering bertemu secara langsung~~? : tunggu saja : aku sudah menonton video sorotannya : tunggu sampai jam 5 sore : ini adalah harinya : ini hari jumat dengan 2 konten sekaligus!''
'': kurasa kita akan sering bertemu secara langsung~~? : tunggu saja : aku sudah menonton video sorotannya : tunggu sampai jam 5 sore : ini adalah harinya : ini hari jumat dengan 2 konten sekaligus!'';Neutral;"Neutral,'': tentu saja, jika aku mengatakan aku 18 tahun, orang-orang akan percaya aku masih 18 tahun : orang yang bilang ""maaf?"" ayo muncul.. : hahaha : orang yang bilang ""itu berlebihan"" ayo muncul.. : eonni, oppa, paman, adik (dengan gaya imut)''"
"'': tentu saja, jika aku mengatakan aku 18 tahun, orang-orang akan percaya aku masih 18 tahun : orang yang bilang ""maaf?"" ayo muncul.. : hahaha : orang yang bilang ""itu berlebihan"" ayo muncul.. : eonni, oppa, paman, adik (dengan gaya imut)''";Neutral;"Sad,'':"" w sedih bgt kalo smpe gjdi''"
"'':"" w sedih bgt kalo smpe gjdi''";Sad;"Sad,'':"")) kesel dan sedih alias kecewa bro :( yg tdnya semangat wts jd agak loyo''"
"'':"")) kesel dan sedih alias kecewa bro :( yg tdnya semangat wts jd agak loyo''";Sad;Sad,'':( sedih banget plss¦ get well soon, dayeon!''
'':( sedih banget plss¦ get well soon, dayeon!'';Sad;Sad,'':( sedih, knp bub aku''
'':( sedih, knp bub aku'';Sad;Love,'':( suka banget sama pemilihan katanya, indah banget huhu''
'':( suka banget sama pemilihan katanya, indah banget huhu'';Love;Sad,'':(( kdg suka sepi, tp beda lg sepi yg ngerasa kehilangan gitu loh.. berasa asing banget''
'':(( kdg suka sepi, tp beda lg sepi yg ngerasa kehilangan gitu loh.. berasa asing banget'';Sad;Sad,'':(( kemarin takut serok, sekalinya 3 hari berturut-turum ijo terus. sedih''
'':(( kemarin takut serok, sekalinya 3 hari berturut-turum ijo terus. sedih'';Sad;Sad,'':((((( apa w harus mute p word ya. sedih lg hemat tp penven jajan''
'':((((( apa w harus mute p word ya. sedih lg hemat tp penven jajan'';Sad;Neutral,'':: ih kok sedih, sabtu jam 7 ku gak ada excited nonton bad and crazy''
'':: ih kok sedih, sabtu jam 7 ku gak ada excited nonton bad and crazy'';Neutral;"Fear,''[] takut ga bisa memerankan bapak min yoongi dengan baique, karena yoongi tu kek diem diem gt kan nah gue rada petakilan. sama takut kalo disuruh show off ke ""savage"" an nya tuh gue ga nyampe gitu.''"
"''[] takut ga bisa memerankan bapak min yoongi dengan baique, karena yoongi tu kek diem diem gt kan nah gue rada petakilan. sama takut kalo disuruh show off ke ""savage"" an nya tuh gue ga nyampe gitu.''";Fear;Neutral,''[+] enak banget kalo gerimis gini alun2 sepi jadi bisa dikit2 buka masker [-] gerimis''
''[+] enak banget kalo gerimis gini alun2 sepi jadi bisa dikit2 buka masker [-] gerimis'';Neutral;Anger,''[cuping marah]''
''[cuping marah]'';Anger;Love,''[fakta melody] melody suka menanam pohon, maka dari itu dia ambil jurusan pertanian, biar bisa menanam benih cinta gue ke dia''
''[fakta melody] melody suka menanam pohon, maka dari itu dia ambil jurusan pertanian, biar bisa menanam benih cinta gue ke dia'';Love;"Neutral,''_harusnya anda bijak dalam kasih data,awal mereka bisnis itu sejak jaman sby atau jokowi..? . . _"" kalau bodoh diam,kalau pinter ajari "".. . .''"
"''_harusnya anda bijak dalam kasih data,awal mereka bisnis itu sejak jaman sby atau jokowi..? . . _"" kalau bodoh diam,kalau pinter ajari "".. . .''";Neutral;Anger,''` aku udah sabar ya. gak marah-marah atau ngata-ngatain. jangan ngelunjak.''
''` aku udah sabar ya. gak marah-marah atau ngata-ngatain. jangan ngelunjak.'';Anger;Neutral,''05.02.2022 tepat 1 tahun banyak penyesuaian, adaptasi, jengkel, nyebelin, walopun gw suka ngambekan kadang frontal tapi tetep harus faham dan cepet diselesaikan. ahh beli kue tart dulu dehh''
''05.02.2022 tepat 1 tahun banyak penyesuaian, adaptasi, jengkel, nyebelin, walopun gw suka ngambekan kadang frontal tapi tetep harus faham dan cepet diselesaikan. ahh beli kue tart dulu dehh'';Neutral;Neutral,''06. kesal istirahat telah tiba, setelah mengganti baju dan ke kelas, salsa fokus terhadap handphone nya sembari melahap bekalnya''
''06. kesal istirahat telah tiba, setelah mengganti baju dan ke kelas, salsa fokus terhadap handphone nya sembari melahap bekalnya'';Neutral;Anger,''07 februari 2022, hari ter shibal bgt kenapa gitu lo di bikin jatoh di depan jalanan mana di liatin byk orang sakit sm malu nya netral 7 februari prik''
''07 februari 2022, hari ter shibal bgt kenapa gitu lo di bikin jatoh di depan jalanan mana di liatin byk orang sakit sm malu nya netral 7 februari prik'';Anger;Neutral,''09.13 simpang air hitam : antrian kendaran normal dikeempat kaki simpang, situasi arus lalulintas lancar''
''09.13 simpang air hitam : antrian kendaran normal dikeempat kaki simpang, situasi arus lalulintas lancar'';Neutral;Neutral,''09.15 simpang air putih : antrian kendaran normal dikeempat kaki simpang, situasi arus lalulintas lancar''
''09.15 simpang air putih : antrian kendaran normal dikeempat kaki simpang, situasi arus lalulintas lancar'';Neutral;Neutral,''09.20 simpang agus salim : antrian kendaran normal diketiga kaki simpang, situasi arus lalulintas lancar''
''09.20 simpang agus salim : antrian kendaran normal diketiga kaki simpang, situasi arus lalulintas lancar'';Neutral;Neutral,''09.21 simpang muara : antrian kendaran normal diketiga kaki simpang, situasi arus lalulintas lancar''
''09.21 simpang muara : antrian kendaran normal diketiga kaki simpang, situasi arus lalulintas lancar'';Neutral;Neutral,''09.23 simpang tengkawang : antrian kendaran normal dikeempat kaki simpang, situasi arus lalulintas lancar''
''09.23 simpang tengkawang : antrian kendaran normal dikeempat kaki simpang, situasi arus lalulintas lancar'';Neutral;Sad,''1 kata aj sih, 'kecewa'''
''1 kata aj sih, 'kecewa''';Sad;Neutral,''1. alangkah bahagia menjadi manusia yang ketika nafasnya terhenti namun aliran pahalanya tidak berhenti. apa saja amalan yang dapat dilakukan?''
''1. alangkah bahagia menjadi manusia yang ketika nafasnya terhenti namun aliran pahalanya tidak berhenti. apa saja amalan yang dapat dilakukan?'';Neutral;Neutral,''1. empire of corpses, ceritanya tentang ilmuan yg berusaha buat ngehidupin lagi orang mati, tapi tentu saja orang yg dihidupkam itu gak sempurna jadi dia melakulan perjalanan buat mecahin misteri terakhir dari penelitiannya''
''1. empire of corpses, ceritanya tentang ilmuan yg berusaha buat ngehidupin lagi orang mati, tapi tentu saja orang yg dihidupkam itu gak sempurna jadi dia melakulan perjalanan buat mecahin misteri terakhir dari penelitiannya'';Neutral;Neutral,''1. tikung dia di sepertiga malam 2. sebut nama dia waktu solat hajad 3. chat an, bahas apa aja (terutama tugas) 4. (gue pribadi) ga suka terlalu clingy, biasa aja ges. tp klo dia udh mulai excited bahas sesuatu nah disitu lu boleh berlebihan''
''1. tikung dia di sepertiga malam 2. sebut nama dia waktu solat hajad 3. chat an, bahas apa aja (terutama tugas) 4. (gue pribadi) ga suka terlalu clingy, biasa aja ges. tp klo dia udh mulai excited bahas sesuatu nah disitu lu boleh berlebihan'';Neutral;"Neutral,''10.memandang ke tempat sujud ""apabila shalat,rasulullah biasa menundukkan kepala mengarahkan pandangannya ke tanah.""(hakim)''"
"''10.memandang ke tempat sujud ""apabila shalat,rasulullah biasa menundukkan kepala mengarahkan pandangannya ke tanah.""(hakim)''";Neutral;Joy,''10/10 seru bnget. bkin emosi''
''10/10 seru bnget. bkin emosi'';Joy;Joy,''100 days my prince, ini wajib banget ditonton apalagi kalo suka romcom''
''100 days my prince, ini wajib banget ditonton apalagi kalo suka romcom'';Joy;Joy,''10000?0 sihh enak didenger gituu, lirik nya juga relate bangett djdjjfjf keren ya tuhan''
''10000?0 sihh enak didenger gituu, lirik nya juga relate bangett djdjjfjf keren ya tuhan'';Joy;Neutral,''10k saja kak. full garansi dan fast proses ya boleh dm atau wa :''
''10k saja kak. full garansi dan fast proses ya boleh dm atau wa :'';Neutral;Anger,''1-10!! marah aku''
''1-10!! marah aku'';Anger;Neutral,''120-150 nder biasa nya aku liat''
''120-150 nder biasa nya aku liat'';Neutral;Sad,''15. penonton kecewa''
''15. penonton kecewa'';Sad;Fear,''2 atau 3 orang aja ya :d but! kalo flop mora hapus soalnya malu''
''2 atau 3 orang aja ya :d but! kalo flop mora hapus soalnya malu'';Fear;Neutral,''2 bungkus saja''
''2 bungkus saja'';Neutral;Joy,''2 kali ngekos km luar. yg dulu gak enak, karena kotor dan suka rebutan. yg sekarang bersih dan adem ayem aja, duh pokoknya enak deh yg sekarang jadii tergantung kebersihan dan sifat dari anak2 kosannya yaa klo enak gak enaknya wkwk''
''2 kali ngekos km luar. yg dulu gak enak, karena kotor dan suka rebutan. yg sekarang bersih dan adem ayem aja, duh pokoknya enak deh yg sekarang jadii tergantung kebersihan dan sifat dari anak2 kosannya yaa klo enak gak enaknya wkwk'';Joy;Neutral,''2 kemungkinan: 1. elu tolol 2. temen lu jd sepuh di sma, smntr adek nya udah kuliah''
''2 kemungkinan: 1. elu tolol 2. temen lu jd sepuh di sma, smntr adek nya udah kuliah'';Neutral;Neutral,''20. (orang yang mendapat malu di suatu pertemuan) i vote for at the 2022''
''20. (orang yang mendapat malu di suatu pertemuan) i vote for at the 2022'';Neutral;Neutral,''2022 tetep bodoh..''
''2022 tetep bodoh..'';Neutral;Joy,''26. (awalnya malu-malu, tapi lama-lama mau) i vote for at the 2022''
''26. (awalnya malu-malu, tapi lama-lama mau) i vote for at the 2022'';Joy;Joy,''2in hehe. fix ini enak bgt''
''2in hehe. fix ini enak bgt'';Joy;Sad,''2x suka seseorang dan orang itu suka orang lain. berturut-turut. sedih amat hidup saya :(''
''2x suka seseorang dan orang itu suka orang lain. berturut-turut. sedih amat hidup saya :('';Sad;Anger,''3) jangan malu minta foto real, real pict jaminan anda cocok atau kagak. dpd dateng2 kecewa beda foto, mana jaman skr app edit foto dah jahat2!!''
''3) jangan malu minta foto real, real pict jaminan anda cocok atau kagak. dpd dateng2 kecewa beda foto, mana jaman skr app edit foto dah jahat2!!'';Anger;Love,''3. parfum junkyu from !! aa waktu itu liat teel banyak yang suka dan beli parfum ini, jadi kepo kann tapi ternyata saldo spay ga cukup eh ada orang baik yang mau co-in parfumnya aa seneng. wanginya enak banget plis''
''3. parfum junkyu from !! aa waktu itu liat teel banyak yang suka dan beli parfum ini, jadi kepo kann tapi ternyata saldo spay ga cukup eh ada orang baik yang mau co-in parfumnya aa seneng. wanginya enak banget plis'';Love;Neutral,''365. kalau mau gestun limit kamu di spaylater, gopay coin, gopaylater, akulaku, kr3divo, indodana dll langsung saja ke cair cepat gak sampai ber jam-jam!''
''365. kalau mau gestun limit kamu di spaylater, gopay coin, gopaylater, akulaku, kr3divo, indodana dll langsung saja ke cair cepat gak sampai ber jam-jam!'';Neutral;Joy,''39. suka banget klepon''
''39. suka banget klepon'';Joy;Sad,''3bln setelah nikah ok aja mau dibilang apapun,tp makin kesini bahasa nya benerbener tidak buat enak dan stress sendiri sampe mikir mau kurus dengan cepat tp tidak mungkin,semua itu butuh proses untuk sehat jg.. sedih bangett''
''3bln setelah nikah ok aja mau dibilang apapun,tp makin kesini bahasa nya benerbener tidak buat enak dan stress sendiri sampe mikir mau kurus dengan cepat tp tidak mungkin,semua itu butuh proses untuk sehat jg.. sedih bangett'';Sad;Fear,''4 bln ya desember lalu gw kaget mulu klo om gw dateng. takut ngasih kabar kematian.''
''4 bln ya desember lalu gw kaget mulu klo om gw dateng. takut ngasih kabar kematian.'';Fear;Neutral,''4. saling menjaga juga berlaku untuk menjaga pernikahan, ya jelas tentu saja 5. memastikan istri bahagia, bukan cuma nerimo? kurang tepat, memastikan keluarga bahagia, semua pihak bagahia gk cm istri, tp suami, dan anak''
''4. saling menjaga juga berlaku untuk menjaga pernikahan, ya jelas tentu saja 5. memastikan istri bahagia, bukan cuma nerimo? kurang tepat, memastikan keluarga bahagia, semua pihak bagahia gk cm istri, tp suami, dan anak'';Neutral;Neutral,''46. hi, pasti lagi nyari jasa un-sus un-lock ya? bisa ke yap | unlock all case 5k / acc | unlock umur 7k / acc | unsus biasa 10k / acc payment dilakukan di akhir a¼ close uns permanen semi perm''
''46. hi, pasti lagi nyari jasa un-sus un-lock ya? bisa ke yap | unlock all case 5k / acc | unlock umur 7k / acc | unsus biasa 10k / acc payment dilakukan di akhir a¼ close uns permanen semi perm'';Neutral;Neutral,''47. hi, pasti lagi nyari jasa un-sus un-lock ya? bisa ke yap | unlock all case 5k / acc | unlock umur 7k / acc | unsus biasa 10k / acc payment dilakukan di akhir a¼ close uns permanen semi perm''
''47. hi, pasti lagi nyari jasa un-sus un-lock ya? bisa ke yap | unlock all case 5k / acc | unlock umur 7k / acc | unsus biasa 10k / acc payment dilakukan di akhir a¼ close uns permanen semi perm'';Neutral;"Sad,''5 feb, hari ini flight balik jakarta. 12.50. sedih, degdegan, mixed feelings banget ampe deg""an. apalagi tadi dipeluk gitu pas bangun tidur. ck''"
"''5 feb, hari ini flight balik jakarta. 12.50. sedih, degdegan, mixed feelings banget ampe deg""an. apalagi tadi dipeluk gitu pas bangun tidur. ck''";Sad;Sad,''5 februari kenapa sih, pagi-pagi udah ada kabar sedih aja''
''5 februari kenapa sih, pagi-pagi udah ada kabar sedih aja'';Sad;Neutral,''5/24 wansen gemes bgt beixing ga peka ah, tpi bukan salahnya juga sih, wansen nya begitu, ya wajar wkwk terus itu gao ge malah bikin tambah salah paham cuma buat bpk nya kesal''
''5/24 wansen gemes bgt beixing ga peka ah, tpi bukan salahnya juga sih, wansen nya begitu, ya wajar wkwk terus itu gao ge malah bikin tambah salah paham cuma buat bpk nya kesal'';Neutral;Anger,''5/6 aakkkk benci kalo pulau2 kecil, ga paham''
''5/6 aakkkk benci kalo pulau2 kecil, ga paham'';Anger;Neutral,''5f orang yg suka mengganggu biarkan saja. mbak. yu nanti jika dia capek lak yo berhenti sendiri atau diam karena kelelahan..''
''5f orang yg suka mengganggu biarkan saja. mbak. yu nanti jika dia capek lak yo berhenti sendiri atau diam karena kelelahan..'';Neutral;Neutral,''7 arti mimpi menggali kuburan yang menakutkan: tak perlu takut saat mengalami mimpi menggali kuburan.''
''7 arti mimpi menggali kuburan yang menakutkan: tak perlu takut saat mengalami mimpi menggali kuburan.'';Neutral;Joy,''8,5/10 enakk bgt suka rasa kuah pedesnya, apalagi kalo lagi emosi makan ini auto hilang emosi ku''
''8,5/10 enakk bgt suka rasa kuah pedesnya, apalagi kalo lagi emosi makan ini auto hilang emosi ku'';Joy;Love,''8/10, aku belum baca webtoonnya tapi suka banget sama drama ini. seruu banget sampe udah rewatch berkali2, tapi sayang endingnya gajelas''
''8/10, aku belum baca webtoonnya tapi suka banget sama drama ini. seruu banget sampe udah rewatch berkali2, tapi sayang endingnya gajelas'';Love;Fear,''a trivia, im being deadass. gue ga pernah dugem wkwk takut ngebungkus laki orang.''
''a trivia, im being deadass. gue ga pernah dugem wkwk takut ngebungkus laki orang.'';Fear;Joy,''á…  á… á…  á…  seru juga rumah deket pantai. boleh-boleh, saya masih muda. enak dong, udah punya pacar belum kamu? á…  á…  á… ''
''á…  á… á…  á…  seru juga rumah deket pantai. boleh-boleh, saya masih muda. enak dong, udah punya pacar belum kamu? á…  á…  á… '';Joy;Fear,''”karena ditempat kaos kaki suka banget amburadul ga di gulung habis dicuci, jadi pagi pagi buru buru kadang ga mikir. pas sampe kelas baru sadar :d tapi trobos aja sih ampe panikan''
''”karena ditempat kaos kaki suka banget amburadul ga di gulung habis dicuci, jadi pagi pagi buru buru kadang ga mikir. pas sampe kelas baru sadar :d tapi trobos aja sih ampe panikan'';Fear;Anger,''¼kata kasar // harsh word ¼ bismillah asu babi bajingan celek jancuk kontol monyet tai anjing ngentot goblog tolol asuu astaghfirullahalazim, maaf''
''¼kata kasar // harsh word ¼ bismillah asu babi bajingan celek jancuk kontol monyet tai anjing ngentot goblog tolol asuu astaghfirullahalazim, maaf'';Anger;Love,''aa gracee sayangengga berto suka banget setiap di taggini huhu. makasi graceeberto baik kok, gracee juga jaga kesehatan yaa. semangat terus sayangkuberto sayang gracee bangett!!''
''aa gracee sayangengga berto suka banget setiap di taggini huhu. makasi graceeberto baik kok, gracee juga jaga kesehatan yaa. semangat terus sayangkuberto sayang gracee bangett!!'';Love;Anger,''aa kesel bgt anying. dia sudah di bandaraa, gift gue blm siap. ya allah sedih bgt gue uda gbsa nepatin janji buat meet up dari desember trs harini gbsa nganter dia ke bandara, ngasih gift jga engga!!''
''aa kesel bgt anying. dia sudah di bandaraa, gift gue blm siap. ya allah sedih bgt gue uda gbsa nepatin janji buat meet up dari desember trs harini gbsa nganter dia ke bandara, ngasih gift jga engga!!'';Anger;Love,''aa lucu bgt sannie kalo takut matanya jadi gedee, imutttt :3''
''aa lucu bgt sannie kalo takut matanya jadi gedee, imutttt :3'';Love;Anger,''aa maaf pagi pagi malah marah marah''
''aa maaf pagi pagi malah marah marah'';Anger;Joy,''aa makasii, lu juga semangat yaa''
''aa makasii, lu juga semangat yaa'';Joy;Sad,''aa sedih''
''aa sedih'';Sad;Sad,''aa sedih bgt progja udah selesai semuaa hwaa gamau udahan kkn-nya''
''aa sedih bgt progja udah selesai semuaa hwaa gamau udahan kkn-nya'';Sad;Love,''aa suka banget senyum tae disini anwjjsjjw sayang sayang bangett.''
