emotion,tweet
Anger,"ahay bocah tengil tolol, cuma pintar foya2 ngabisin hasil warisan. mumpung masih banyak warisan, terusin aja halunya."
Anger,"ahok yang nyata pro rakyat yang kalian benci?"
Anger,"aing macan marah?"
Anger,"ajarkan kepada anak lelaki"
Anger,"ajg ad aja yg bikin emosi baca gini pagi"
Anger,"ajuin aja kenapa takut untuk mencoba? ragu? mundur aja."
Anger,"akhh kenapa bang mark ganteng banget bangsat di mv child, pengen gw gak bisa"
Anger,"akhirnya bangun siang. tp si bodoh ini kaga solat subuh"
Anger,"akibat?? pernah liat plat b bawa kendaraan di luar jakarta? ugal2an padahal jalanan sepi kayak dikejer setan bego gitu"
Anger,"aku akan sentiasa akan bapak ang tu selagi aku tak dpt tumbuk muka dia tu bodoh ingt aku ni takdak muka ka selamani babi betui la kurang ajaq."
Anger,"aku benci banget sama kamu,hatimu itu bagaikan busway yg sering mengeluar masukan orang lain"
Anger,"aku benci isi kepala ku isi hatiku dan semua"
Anger,"aku benci kata jenuh"
Anger,"aku benci kau.."
Anger,"aku benci kenapalah korg tepuk masa ni! hoi!!!!!!!"
Anger,"aku benci ppkn"
Anger,"aku benci tahun ini"
Anger,"aku bukan bermaksud nak biadab tapi ko faham tak bila dalam ramai2 adik beradik dlm rumah ni, parent ko asyik sebut nama ko je, cari barang tk jumpa pun marah ko sorang je faham tk? rasa mcm aku sorang jeke anak knp smua org x blh tngok i bhgia"
Anger,"aku butuh kepastian, bukan harapan palsu!"
Anger,"aku dendam sama ntu dua orang itu."
Anger,"aku jengkel liat si akun yunnie azza a.k.a princes manula inj mb. cari nafkah aja masih berjuang di negara orang lain, sibuukk ngejahatin circle mb ivone di tl. dr kemarin sy liatin ss tweetnya, ngefitnah terus2an."
Anger,"aku jengkelnya ke semuanya sih, mbulet kyk benang kusut btw udah selesai bacanya? kalau udah no spoiler please"
Anger,"aku pura-pura tidak tau saja kebohonganmu yang terhakiki, entahlah aku pura-pura bodoh saja nanti juga akan ketahuan sendiri biar waktu yang menunjukkannya"
Anger,"aku sudah pernah "menonton" kisah seperti ini sebelumnya, dan aku benci endingnya +-+"
Anger,"aku yakin mereka bakal jengukin sih tapi kita ga tau ya mereka mau share apa enggak. yang penting jm ga sendirian lagi ahh copit bangsat. minta maaf lu bikin mimi sakit dan sndirian"
Anger,"amit amit banget gila kek bangga bgt tu orang suka ngentot sana sini, kek big rewards buat dia, sinting banget goblok"
Anger,"anak cucu para bangsat bangsa?"
Anger,"anaknya jadiin model aja bund biar bisa balas dendam"
Anger,"anda memang bodoh."
Anger,"aneh banget bego lu"
Anger,"aneh ga sih? padahal dia lebih sering keluar berdua diem-diem ga ngajak aku tapi aku gada marah samsek krnapa giliran aku minta tolong buat ditemenin beli sesuatu dianya marah anjim aowkaowkaow padahal kan skornya juga 2:0,5 klo dipikir-pikir"
Anger,"aneh lu bangsat"
Anger,"aneh si, orng kalo udh cinta kdng kadar kebegoannya meningkat. maaf sender tapi jujur lo bego"
Anger,"angka covid lagi naek. kalo masih dilanjut event offlinenya, asli bodoh sih ni brand."
Anger,"anj anj kesel kecewa bgt sama diri sendiri heeuh"
Anger,"anj j1min aing udah mau sedih, sialan lu ngetiknya kek gi mati aja, gk jlas lu ji udah lah gi gak usah d kasih jatah 5 bulan aja"
Anger,"anjeng gw kan make dn puasa gelar, kenapa pada bilang semangat puasa. bikin sakit hati aj"
Anger,"anjing babi bangsat abang gw kecelakaan pelakunya kabur setan"
Anger,"anjing gue baru nonton all of us dead bawaannya emosi bgst"
Anger,"anjing kaget, typing lo minta di tabok apa gimana?"
Anger,"anjing nih eps 3 sedih banget bangsat gue nangis ampe idung mampet, jadi kesel ah"
Anger,"anjing u kontol bangsat memek, munculkan lagi semua karakter yg ada di s1, lanjutkan s1, tp endingnya cacad no good"
Anger,"anjing!! akun tolol"
Anger,"anjing.. korupsi 2,1m cuma 1thn 4bln..apa kabar yg maling ayam karna lapar..karna hak nya di makan oleh pejabata" macam manusia ini.. indonesia oh indonesia..miris bgt negara aing"
Anger,"anjingg kaget bikin kesel"
Anger,"anjinglah brengsek bangsat"
Anger,"anjir bsbsnya mimpi iparku ternyata jelmaan siluman babi, y tp kalo dipikir2 ada korelasinya si sm sikap, sifat dan tingkah lakunya yg ga layak disebut manusia wkwk cok baru kali ini aku bisa benci banget sama manusia"
Anger,"anjirr ini akun gilak bego dongo bikin gw kaget aja"
Anger,"anjr kesal bgt sm yg suka curi", semangat ashh smoga lancar jd bisa di td punya si pencuri mana judulny dari yg keren jdi cuman bridge, tree, fragment"
Anger,"another manusia tolol yang cocok dikebiri"
Anger,"apa apaan ini , benci bgt pagi pagi lewat tl bikin iri dengki"
Anger,"apa bedanya coba awal chat huruf kapital apa engga ? sahabat, kamu kok tolol"
Anger,"apaan ini trending nft.. jijik bgt kalo mau abisin uang di hal yang gak membahayakan bumi bisa gak si tolol"
Anger,"apalagi bodoh"
Anger,"apasi ngentot gajelas. mau kecil, gede juga kalo tuaan gue itu org jadi adek. tolol"
Anger,"apasih bawa2 tahun, tolol"
Anger,"aq dh 5 kali approach..smua ke reject..sedih siot..siap depress..tu la nk ckp takut nk approach dulu x la tp effect after approach tu yg prob..klau diterima ok..lau x sedih,malu,marah semua ad..and its effect ur life..kdg rasa penat dah nk hadap"
Anger,"aq dh 5 kali approach..smua ke reject..sedih siot..siap depress..tu la nk ckp takut nk approach dulu x la tp effect after approach tu yg prob..klau diterima ok..lau x sedih,malu,marah semua ad..and its effect ur life..kdg rasa penat dah nk hadap"
Anger,"aq sumpah benci nerd yng main romen buku setiap hari pastu poyo nn hotboys"
Anger,"arghh emosi liat bang ziel"
Anger,"arrgh pagi pagi emosi"
Anger,"artinya lg marah"
Anger,"asli asli tolol bat gw yaampun"
Anger,"asli malu maluin org indo tolol yg rep latah "cilukba" pake huruf hijaiyah sm "ngntd" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya "ngtd" semua, dasar goblogg trend tiktok ter tolol"
Anger,"astaghfirullah marah marah"
Anger,"astronomi? iya emg saya ngikutin, kamu emg tolol sih cuma menyimpulkan dr following akun saya, bener2 tolol. berarti saya bukan ateis dong gara2 ga follow akun ateis. gitu kan logika kamu? logika cacat pakar kok cacat"
Anger,"asu pjj lagi dah enak ptm padahal"
Anger,"asuh opung ini.. tolong hargain ya pung, tdk semua orang suka dengan postingan opung ini kara ini sumpah enak banget"
Anger,"atheis punya rasa benci? kirain umat beragama aja. lalu apa bedanya :))"
Anger,"awan lu dendam ama gua ngomng wan"
Anger,"ayo emosi jangan sabar"
Anger,"azab jualan ayat lha bego"
Anger,"baca komenannya sungguh menguras emosi asu"
Anger,"bacoot kadrun emang bangsat"
Anger,"bacot bangsat"
Anger,"bagus tapi mau marah"
Anger,"bahkan ada dari tweet yang maksudnya supportive. parahnya tuh nggak dibarengi dengan nanya baik-baik atau diskusi, tapi langsung ngegas. bener-bener jadi ruang marah-marah aja"
Anger,"baju bodoh yg gimana sih"
Anger,"baju ilang lagi laundryan, pagi2 dah bikin emosi"
Anger,"balas dendam dg cari ini mmg paling elegant"
Anger,"balas dendam, biar yakin kl suami istri bs saling nutup aib"
Anger,"banget hehe, apalagi kalau lg tidur trus kaget rasanya kaya pengen marah marah"
Anger,"bangke ptmt, kelas gue jadi sepi banget anjir"
Anger,"bangsat banget!!"
Anger,"bangsat banget"
Anger,"bangsat bener juga"
Anger,"bangsat bener krn pelakunya adalah guru yg seharusnya mengayomi"
Anger,"bangsat dah ini"
Anger,"bangsat dikira gue hidup cuma apa2 buat suami apa?? gila ya"
Anger,"bangsat gue kayak orang gila ngegalauin cowo orang"
Anger,"bangsat ini akun sy di hack kah?"
Anger,"bangsat ini siapa yang setel lagu galau pagi pagi"
Anger,"bangsat masih berani main sosmed"
Anger,"bangsat ntarnta pasti nangis haha pengecut nada tolol mati aja lo"
Anger,"bangsat off target lagi"
Anger,"bangsat orang yg suka minjem duit pas ditagih" malah lari gausa dikasi ampun"
Anger,"bangsat tau aja lg lu dip"
Anger,"bangsat tribute no.1, bencana no.2 mau ngalahin ini keknya"
Anger,"bangsat w lagi nyanyi nyanyi di dapur ternyata ada orang luar yang liat dari pintu dapur"
Anger,"bangsat!"
Anger,"bangsat"
Anger,"bangsat"
Anger,"bangsat, lu jg member malik anjim"
Anger,"bangsat, mang lu udah?"
Anger,"bangsat, ngagetin aja"
Anger,"bangun tdr liat fans mu pada marah marah taunya hadehh"
Anger,"bapak pengkhianat negara bergaduh dengan bapak songlap negara dah tikam belakang ph nak jadi good cop  pulak lawak bodoh!"
Anger,"bapak sialan ya gabagus buat contoh, songong, bgst, capek bgt pasti punya bapk kek gitu. ha ha ha, arsen zeyeng, suka bgt gaya lu broo sayang arsen banyak2"
Anger,"baru bangun kena marah tiba tiba but we should keep kiyowo"
Anger,"baru juga reda emosi nya udah emosi lagi"
Anger,"baru kemarin ketemu spesies yang begini. mana dia ngomong dibesarin lagi suaranya sampe sekelas denger. aku balas lah emosi kali aku wak"
Anger,"baru mau sedih kenapa close, endingnya bikin emosi. semoga hari lo senin terus"
Anger,"baru mau sedih kenapa close, endingnya bikin emosi. semoga hari lo senin terus"
Anger,"baunya busuk banget sumpah, gatau kucing w nih punya dendam apa sama gue pokoknya tiap dia kentut pasti deketin dan sok2 manja. aslinya kentutt"
Anger,"bayangin aja ryo: ani sihh aced: tau tuh, kena marah kan lyan: lah kok aku?? berakhir gelut bertiga"
Anger,"bego bgt knpa maksa ya"
Anger,"bego dimananyaa. eluu ihh"
Anger,"bego emang nggak bisa apa apa lu zar cuman beban doang"
Anger,"bego pelihara! yg dipelihara itu kudunya tuyul ya ceu!"
Anger,"bego ya begi diba astaga"
Anger,"benar banget, cancel culture dan pembenaran diri sendiri ala sjw zaman sekarang benar-benar sudah ditahap sangat menjijikan. gak beda jauh sama orang-orang di jalan, yg suka main hakim sendiri sampe bikin nyawa orang melayang"
Anger,"benci banget gue njing sama kegiatan yang namanya bangun pagi!!"
Anger,"benci banget gue sama ini orang."
Anger,"benci banget gw sama yg jualan agama.. agama cuma topeng."
Anger,"benci banget sama diri sendiri, gampang nangis kalo ngobrol sama orang tua."
Anger,"benci bangett"
Anger,"benci bat sama kumpulan ibu ibu"
Anger,"benci bgt liat seorang profesional begini, keliatan bgt tukang nyinyir. emg di kedokteran gak ada kode etik yang mengatur tentang etika bersosmed ya?"
Anger,"benci bnget soalnya kepikiran bagian si kawan mninggoy abjingkkkk"
Anger,"benci juga karakternya cheol. kek itu uda keliatan han sakit hati, knp harus ditegesin dlu baru peka??!! ga mempermasalahkan his feeling towards nu, tp the way he treated han that i hate the most. dipermainin bgt haha, jerk."
Anger,"benci tasik, benci jakarta"
Anger,"benci tau rasanya harus bertengkar sama perasaan diri sendiri"
Anger,"bener banget jaman sma dulu ada lgi temen yg suka gitu,mana dia bangga bgt abis nipu demi bantuan didepan gue padahal tinggalnya di komplek perumahan yg bagus. mau marahin tapi asyudahlah dianya juga gada kesadaran"
Anger,"bener bgt sih. banyak bgt yg benci ama gw. salah satunya pas gw kerja di penulis. ada nih 1 tmn gw yg didepan baik, dibelakang malah bilang ke kakak ipar gw kl dia gk suka gw, malah cenderung ke benci. pas gw diputus kontrak, dia tuh seneng bgt njir."
Anger,"bener, tpi juga bikin kesal lama2 liat mukanya"
Anger,"bener-bener kalau lagi emosi ga ada yang bisa kontrol. tapi ujungnya selalu ada yang ngalah duluan buat bilang maaf ."
Anger,"bentar bentar masih pagi jangan emosi dulu. mau ganti akun dulu buat maki-maki"
Anger,"berita bangke.. dan mereka makin exis dan dah kgk punya malu sama sekali.. keheed keheed. jgn sampe anak cucu ane kayak gini. najiiss"
Anger,"bersabar dengan emosi yang ada di dalam diri ini."
Anger,"bersin dikit gw parno pengen swab astaga benci bgt omicron bikin idup ga tenang"
Anger,"betooll bodoh banget yg suka ngmg: matiin rejeki org krn sinet tamat! sok tau bangett tp ya gitu, ngeyel"
Anger,"betul org cakap, kalau tak bodoh bukan bn namanya.."
Anger,"biarin marah banget aing kali ini"
Anger,"biasaa ada aja org bikin emosi"
Anger,"biasanya jga kalo titip2 ke aku toh? knp ke ibu? udh tau ibu suka lupa masih aja nitip ke ibu, biasanya jga nitip ke aku trs di bls "apa, nitip apa? nyenyenye" mlh ngegas gue kasih tau biar klo nitip2 ke gue aja biasanya jga kaya gitu ajg"
Anger,"biasanya yg pink sekarang yg ungu, ternyata ga suka wanginya plis ini kaya bau orang yg aku ga suka banget, sialan ternyata dia pake ini"
Anger,"bikin emosi aja pagi"
Anger,"bikin gue emosi aj"
Anger,"bilangnya realistis butuh duit sbnrnya lebih ke oke gw cari yg banyak duit gt ga si org materialistis tuh. iinget segalanya butuh uang tapi uang bukan segalanya. agak emosi emg sis kalo sok sok realistis tp trnyata materialistis"
Anger,"bisa bisanya ada orang yang ga suka liat orang lain bahagia"
Anger,"bisa ga si kaya masalah tuh datengnya ntar malem aja jing biar mau nangis sama overthinknya juga enak gitu jgn pagi pagi setann"
Anger,"bisaa dong yah! jgn bikin emosi dulu pagi-pagi !!"
Anger,"bisa-bisanya mark gak calling gue /marah"
Anger,"blibet ini basictnya apa koq tiap hr bcra bodoh trs, seolah pekerjaan sipil gt aja spt sesuatu yg ndak mgkn bs dikerjakan, jokowi yg ktanya sarjana kehutanan sja bs bkin toll langit dn toll laut."
Anger,"blm di tuduh pki da marah lu drun."
Anger,"bloon. mana ada yg mau kalah. mang bego anjing kntl"
Anger,"bnsatt anjirr pagi2 bikin emosi. kalo ga suka anjing kenapa pelihara?! tiap hari selalu denger anjing nangis kena pukul. emosii. mending lu kasih orang dah tu anjing daripada disiksa setiap hari. kesel yatuhan dengernya ikut sakit denger anjing nangis"
Anger,"bodo amat anjrit bulan kemaren terakhir gue minjemin lo duit, itu 2,7jt gue balikin dulu bangsat"
Anger,"bodoh ajgg"
Anger,"bodoh apa petik2 nama aku"
Anger,"bodoh banget dah checkout maybelline lupa pilih hadiah,"
Anger,"bodoh banget gak sih"
Anger,"bodoh betul g la check org yg xcden tu dulu"
Anger,"bodoh kau emang."
Anger,"bodoh lah takda flight terdekat"
Anger,"bodoh punya orang ! aku doakan makanan yg kau beli jatuh terburai tanpa sempt kau masuk mulut pun. amin"
Anger,"bodoh punya statement ..baik gi minum arak ..melacur ..main judi ..baru betul thrill"
Anger,"bodoh sekali anda liga spanyol nmr 1siapa?"
Anger,"bodoh tdk apa tapi jangan dungu om said didu belajar mufon dari sakit hati om"
Anger,"bodoh ya bodoh aja, tapi jangan ngajak - ngajak!"
Anger,"bodoh"
Anger,"bodoh.."
Anger,"bohong ya, biasanya marah marah tuh gue liat"
Anger,"bokap: ngelarang anak & istri nunjukin rasa jengkel also bokap: kalo jengkel nada ngomongnya ketus, banting pintu, narok barang kasar"
Anger,"boleh benci tapi jangan bodoh"
Anger,"boleh ngomong bangsat gak sih? :) masih pagi uda emosi jiwa"
Anger,"brengski w benci bgt sm matek"
Anger,"brisik banget, ga suka."
Anger,"btw perayangan ini lama lama bikin jengkel ya hmm"
Anger,"buat dan kalo mau nyerang pemerintah itu janjian dulu gitu..keliatan pada bego nya kalo begini !!??"
Anger,"buat sendernya emang harus banget ya semua orang harus bisa bawa motor? kalo temen lo atau siapapun itu suka gatau diri ya lo bilangin lah"
Anger,"bubarkan saja ..ga ono manfaate, opo kontribusi gawe negara ?? Edan"
Anger,"bukan emosian mba tapi bikin emosi"
Anger,"bukan emyu namanya kalo ga tolol ya goblok"
Anger,"bukan lebih ke sangar sih , kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh"
Anger,"bukan pens emyu namanye kalo gak ikut2an tolol"
Anger,"bukan pick me tapi dijamin emosi"
Anger,"busyet bujubuneng.., elu baru kaget sekarang, selama ini ke mane aje tong!? ngapain aje elu pade..?!"
Anger,"buzzerrp bani bipang kafer komunis komen kepanasan.. 2022 masih bodoh bin dungu mudah di bohongin dan di tipu.. manusia rendah moral dan akhlak"
Anger,"cape bgt bacain opini org tolol"
Anger,"capee lagi puasa ada aja yg dibikin marah nya tu"
Anger,"cebong memang bangsat"
Anger,"centi bgt bangsat"
Anger,"chenle gamau di halu'in' gue saat itu kesel banget anjwingg kayak buat apa gitu loh bilang gituan heran gue kalau lo emg ga suka ya udah ga suka ngata2in ga ada yang maksa juga lo tu suka sama chenle itu hak lo but kalau ga suka ga usah hate emosi gue"
Anger,"cjr bangsat! perusak moral ! masih kecil udh ngajarin cinta"an, belum sunat aja sombong ! dah sono pergi kelaut aja ! cc : all comati"
Anger,"ckp macam ni pun tk rasa nk marah ke kecik hati ke hmm"
Anger,"coba deh, sehari aja puasa ngegosip, nggak ngomongin orang. kira-kira bisa nggak?"
Anger,"cok pagi pagi dibuat emosi"
Anger,"contoh orang tolol bin dongok"
Anger,"cowo kek gini alasan nya udh biasa di dengar"
Anger,"cuihh benci banget yg jualan agama basii"
Anger,"cuy ajg wkkwkw tolol semua di rnjna uda paling bener emg aku cuma baca lfs aja, karakternya bener semua tida seperti di rnjna yg mostly pada problematic toxic selfish"
Anger,"daftar orang tolol dan idiot yang menolak kemajuan peradaban indonesia.. nanti akan dicatat sejarah penolak kemajuan indonesia, fotonya di pajang di tempat sampah"
Anger,"dah bodoh dah relax nanti sendiri sakit"
Anger,"dah dekat 2 tahun jadi kerajaan, baru nak cakap tak setuju. kata tak setuju dari awal. so patutnya tak payah la terlibat terus. bodoh."
Anger,"dah emosi og dari tadi wkkw"
Anger,"dah hari ke 6 pun still kena marah pasal panadol"
Anger,"dah la paksa paksa pastu nak marah"
Anger,"dah lah ak kecewa!!"
Anger,"dah lah emosi mulu liat emyu"
Anger,"dah mulai mentalbreakdance~ lg kemarin menjauh sbntar krn ga pgn bocil kena vibe negatifku, emosi bgt smpe banting pintu kmr mandi, mandi siram kepala smbil nanges, keluar kmr mandi dah mendinganlah"
Anger,"dah tetiba kaitkn malaysia si bodoh libertard ni, takde lagi genocide di malaysia spt berlaku di papua sekarang lol"
Anger,"dalem hati padahal panik juga si anying, bego"
Anger,"dan hal tolol ini gak akan gue ulang lagi"
Anger,"dari 15 match competitive, yg menang cuma 4, tolol mending uninstall lagi aja udah, emang gk berbakat"
Anger,"dari awal gasuka karakternya nu, knp dia bisa seserakah itu?? dan bodoh bgt segitu butanya. this is why i called him a jerk"
Anger,"dari subuh udh ga mood, pas main ml pun jdi emosi an"
Anger,"dari turunkan ayam 2 kupang baik buat polisi majukan industri sumber makanan negara. kita negara tropika kot apa jadah harap makanan ternakan import? bodoh sangat ke orang malaysia sampai dedak ayam pun tak boleh buat sendiri?"
Anger,"demi allah benci banget sama gwinam"
Anger,"demi tuhan risih banget. twitter ada fitur kayak gini di timeline ih. udh di silang masih suka muncuull"
Anger,"dengan berlindung merasa punya hak imunitas dpr ih bodoh amat saya gak pilih dia sebagai perwakilan rakyat sok orang sunda diam wae santet saja dari jarak jauh si orang pdi p itu nanti nglunjak dan besar kepala nya ..si anjing"
Anger,"dgr suara org yg makannya ngecap asli emosi aink"
Anger,"dh fb kau unfollow alah bijak ingat aku bodoh"
Anger,"dh mbak ga usah dilanjutin debatnya. cowo cuma mikir enak mah, udah mbak stop aja capek ntar. Bikin kesel aj"
Anger,"di anyara anggota dki, aku pingin macarin model kasino marah aja lucu sewotnya, apalagi pas ngerayu cewek"
Anger,"di bilang kalau sudah hatinya hitam mana ada bisa bedain putih atau hitam. yg pintar bisa mendadak bodoh kalau sudah hatinya penuhin dengan penyakit hati"
Anger,"di satu sisi, kalopun emang proses kemaren gue gagal, gue gapapa banget minum obat lagi. yang penting kelar. please banget. gue udah benci banget di situasi di mana gue cuman keep rasa sakit sendiri dan gue susah kemana mana. benci banget."
Anger,"dia diam diam benci gua, tapi dia cerita ke orang orang yang benci ke dia. dari 10 orang yang dia kenal kira kira 11 orang lah yang benci sama dia"
Anger,"dia marah yae di ship sama ayato, katanya yae miko based on yae sakura on honkai yang emang canonically lesbian tapi ini kan genshin impact"
Anger,"dia nie ngeselin bngt ke guee suka bngt ngisenginn, tp dia tu kek andalan para guru, trs wibu (cm g banget), produktif tidak seperti sayaa, social butterfly bngt, gampang akrab sm orang"
Anger,"dia pasti marah"
Anger,"dia pasti ngerasa bersalah banget sama sone dasar agensi bangsat"
Anger,"dia siap kata kalau alter perkataan kena sign tepi tu. hello, aku ke yang kena sign? tanya la front hang apesal aku lak yang diragukan. nasib x kena carut aku dahlah ak marah betul kalau org spoil mood ak pepagi"
Anger,"diam, adalah jawaban terbaik untuk menghadapi orang bodoh!"
Anger,"dibilang setia itu tuntutan. aneh bgt anjingg kalo emg udh namanya sayang mah bakal setia dgn sendirinya tanpa diminta, apalagi kl udh nikah hrsnya punya kesadaran sendiri buat setia sm pasangannya lah. tolol bgtt kesel pagipagi udh dibikin emosi"
Anger,"dichat dia sampe 20 pesan, ternyata tadi gue mimpi bangstt"
Anger,"dih lu yg nyebelin bego"
Anger,"dih tolol"
Anger,"dih tolol"
Anger,"dihh ga sopan bgt, ini kurir kurir anteraja sama jnt pada ga bener apa gimana sih, suka banget bobo paket orang buat hal yg ga berguna gitu"
Anger,"dijamin emosi"
Anger,"dikira kaget bisa menyelesaikan masalah anggaran yg membengkak.. ?!"
Anger,"dimesjid jaga jarak..di mall desak desakan..demi kaos rebutan wooii..udah 2022 msh jg tolol.."
Anger,"dinamik socmed au joongdok gak jauh dari physical attack lahir batin. selamat pagi, saya bawa kisah kebodohan (fresh from the oven) seseorang yang memang pantas dikatain bego. ga sanggup lagi gua anjir."
Anger,"dipakai untuk acara pernikahan tuh, bodoh.. kunjungi ke tkp jangan cuma maen jempol aja luu.. keree gk punya ongkos, gw bayarin dah, gw mah gitu orangnya"
Anger,"dipta kamu jangan bego bisa ga?"
Anger,"diselingkuhin mereka belum sampe pacaran sih, tapi main belakang aja. diem diem gitu tapi ga mulus, bego banget mereka pdktnya jadi ketauannya cepet"
Anger,"disgusting. sejak kapan poligami diijinkan oleh agama buat mencegah zina? rasul juga poligami bukan sama wanita muda, tapi sama janda dan untuk melindungi mereka, bukan buat ngewe halal. tolol"
Anger,"dit, gue bodoh. ranking 35/36 jadi menurut lo, apa gue paham arti md itu sendiri selain mercedes benz?"
Anger,"dpt mimpi kok mendukung keparnoan, bangun2 bangsat bgt bete au ah, mending ga usah tdr apa ya"
Anger,"drama abg tolol"
Anger,"drtd absen harus emosi dulu baru sidik jari benar2 kebaca"
Anger,"duh adek gw bangsat dikasih duit buat infak malah dijajanin"
Anger,"duh tuh anaknya nanti kelakuannya mirip gue banget deh. biar bisa dinasehatin terus tiap hari. daripada dulu suka nyindirin gue berkedok self reminder, mending langsung kasih copy pastenya aja ke mereka tuhan haha"
Anger,"dulu marah marah, skrg diem aja terus marahnya ke yg dipercaya"
Anger,"dulu untuk jadi ustadz di pesantren, ya harus sudah mumpuni dalam bidangnya. bukan siapa saja boleh gak kayak sekarang banyak sesat!!"
Anger,"dulu waktu smp saya jengkel banget sama ibu saya, mau pergi naik bus dari jombang ke bojonegoro (jawa timur) pake dianterin ke terminal bus. padahal pinginnya naik angkot saja."
Anger,"eeee bak je baca ni ak gamau emosi sndirian, dia yg minjem kok dia yg ngatur pantek ajan leme cicingan ne"
Anger,"eh anjing emg baim mana baim tu rada tau ga lo? bangsat emg lu sibuk / gabut gak? menyebut oknum2 untuk digibahin (iya yg di gibahin ga cuma 1) ya allah wkwkw mbabung lu frik"
Anger,"eh bukan jadi mangsa maki atau kena marah but concerned pasal tak bercakap. tetiba."
Anger,"eh buset gedeg bgt bacanya anak setan lu pada, justru ini yg gua suka dari 2gether di ceritanya bener bener nunjukin cinta ya cinta, bukan cuma tentang nafsu doang."
Anger,"eh tiba tiba si a ini masuk jadi kelompok aku, aku yg emng agak punya dendam *maaf ya allah* kaya dih apasih, udah mah dia bawa kating tanpa ngasih tau ke aku dan temen aku t lagi"
Anger,"eh, kau tidak pernah merancang kejatuhan orang kau benci dengan perempuan lain kah?"
Anger,"eh, ngomong gitu di benci sama orang jepang lah jangan sampe kau ngomong gituan terus orang jepang ngangep negara kau nih gk benar etika ny"
Anger,"eitss jangan marah marah mom, nanti asi enggak keluar"
Anger,"ekspresif marah di tl iya ke temen juga iyaa"
Anger,"electro batman emang bangsat sih"
Anger,"elu jangan bikin gue marah"
Anger,"emang bangsat para netizen, sampe bayi aja dihujat macam itu"
Anger,"emang bangsat tuh yang bancaan duit rakyat. semoga azab perih menimpamu maszsehhhhh"
Anger,"emang benci bngt si kalo liat" komen di tiktok, kalo maen tiktok jarang buka komen biar gak emosi sendiri wkwk"
Anger,"emang bener bangsat"
Anger,"emang dasar nya pada tolol semua yang komen begitu"
Anger,"emang emosi"
Anger,"emang gak bisa kalo urusan yg menuntut kinerja profesional tuh libatin keluarga. ngegampangin bgt. mau marah jg rasa gak enakannya masih kentel. ntar yg ada ngaruh ke hub keluarga."
