Tweet;Label;Tweet,Label
"pagi"" saya udh di sambut tangis bunda";Sad;"pagi"" saya udh di sambut tangis bunda,Sad"
mon, jgn cerita sedih muluu.. ____;Sad;mon, jgn cerita sedih muluu.. ____,Sad
sedih banget :((;Sad;sedih banget :((,Sad
yatuhann sedih bgt gue juga dritadi bacain review orang2 pda jelek2 bgt abis minum bukannya langsing malah pada sakit parah2 ngeri;Sad;yatuhann sedih bgt gue juga dritadi bacain review orang2 pda jelek2 bgt abis minum bukannya langsing malah pada sakit parah2 ngeri,Sad
gpp sedih aja;Sad;gpp sedih aja,Sad
sedih banget ya jadi wanita;Sad;sedih banget ya jadi wanita,Sad
saya suka kucing tapi sedih saya tidak boleh pegang atau pelihara kucing karena punya alergi ( kalau tidak salah suga rl punya alergi sama bulu meong, kan?);Sad;saya suka kucing tapi sedih saya tidak boleh pegang atau pelihara kucing karena punya alergi ( kalau tidak salah suga rl punya alergi sama bulu meong, kan?),Sad
ini bangsa yang sedih dan menyedihkan..;Sad;ini bangsa yang sedih dan menyedihkan..,Sad
ko aku sedih ya di godain k chita pakai twit, lom win;Sad;ko aku sedih ya di godain k chita pakai twit, lom win,Sad
iyhh, jadi sepi bngett huhuu;Sad;iyhh, jadi sepi bngett huhuu,Sad
maaf tadi awal liat ketawa. kirain lagi cosplay jadi pocong. pas tau emang emengnya meninggal, jadi sedih. maafkeun ya emeng;Sad;maaf tadi awal liat ketawa. kirain lagi cosplay jadi pocong. pas tau emang emengnya meninggal, jadi sedih. maafkeun ya emeng,Sad
sedih bgt;Sad;sedih bgt,Sad
jadi ikut sedih anjir;Sad;jadi ikut sedih anjir,Sad
kecewa;Sad;kecewa,Sad
saat ini kamu sedang lelah sedih hingga kecewa karena setiap hal yang kamu perjuangkan tidak pernah sesuai harapan.;Sad;saat ini kamu sedang lelah sedih hingga kecewa karena setiap hal yang kamu perjuangkan tidak pernah sesuai harapan.,Sad
jibe kajja lah.. sedih bgt bye.. nangis di rooftop juga sedih,;Sad;jibe kajja lah.. sedih bgt bye.. nangis di rooftop juga sedih,,Sad
tl gue sepi bgt dah;Sad;tl gue sepi bgt dah,Sad
sedih membaca isi twitt anda,macam tak ada isinya..dan amehnya anda menikmati semua komen2 di lapak anda ini;Sad;sedih membaca isi twitt anda,macam tak ada isinya..dan amehnya anda menikmati semua komen2 di lapak anda ini,Sad
"5 feb, hari ini flight balik jakarta. 12.50. sedih, degdegan, mixed feelings banget ampe deg""an. apalagi tadi dipeluk gitu pas bangun tidur. ck";Sad;"5 feb, hari ini flight balik jakarta. 12.50. sedih, degdegan, mixed feelings banget ampe deg""an. apalagi tadi dipeluk gitu pas bangun tidur. ck,Sad"
penontoon kok sepi sih? tarak tarak tass;Sad;penontoon kok sepi sih? tarak tarak tass,Sad
sedih gila dia ckp camtu;Sad;sedih gila dia ckp camtu,Sad
full sedih maszehh;Sad;full sedih maszehh,Sad
sedih banget masi pagi.;Sad;sedih banget masi pagi.,Sad
sedih ada orang suka kita. hakhak;Sad;sedih ada orang suka kita. hakhak,Sad
yahh sedih bgt;Sad;yahh sedih bgt,Sad
sedih banget:);Sad;sedih banget:),Sad
"lockey pasti sedih kecewa tp sebenarnya yg paling sedih adlh member"" yg hrs kehilangan denise kita tau hubungan denita (couple) kita tau hubungan dejin (best friend) kita tau hubungn antar member (family) so lockey hrs kuat krn lockey adlh sumber semangat dri secret number";Sad;"lockey pasti sedih kecewa tp sebenarnya yg paling sedih adlh member"" yg hrs kehilangan denise kita tau hubungan denita (couple) kita tau hubungan dejin (best friend) kita tau hubungn antar member (family) so lockey hrs kuat krn lockey adlh sumber semangat dri secret number,Sad"
sejak hari itu, ga ada satu orang pun yang gw percaya lagi. teman, sahabat, saudara, orang tua bukan orang yang tepat buat gw cerita segala senang, sedih, bahagia maupun susah gw. bahkan tuhan pun sepertinya enggan gw jadiin tempat mengadu.;Sad;sejak hari itu, ga ada satu orang pun yang gw percaya lagi. teman, sahabat, saudara, orang tua bukan orang yang tepat buat gw cerita segala senang, sedih, bahagia maupun susah gw. bahkan tuhan pun sepertinya enggan gw jadiin tempat mengadu.,Sad
tl twt sepi bngett, kalian pada di fb semua yhh?;Sad;tl twt sepi bngett, kalian pada di fb semua yhh?,Sad
sedih bgt farewell giftnya yeppeoseo :((;Sad;sedih bgt farewell giftnya yeppeoseo :((,Sad
umurku sekarang sama kayak kamu nder, dan deket sama cowok terakhir tuh 2 tahun lalu kayaknya. sekarang gak pernah ada yg deketin lagi wkwk paling sedih dikata perawan tua:(;Sad;umurku sekarang sama kayak kamu nder, dan deket sama cowok terakhir tuh 2 tahun lalu kayaknya. sekarang gak pernah ada yg deketin lagi wkwk paling sedih dikata perawan tua:(,Sad
kok sepi rep nya gak kek pas masa-masa penjilat;Sad;kok sepi rep nya gak kek pas masa-masa penjilat,Sad
"wlopun bukan bagian fandom, tp tiap ada member boy/girlgrup keluar tuh rasanya ikut sedih:""";Sad;"wlopun bukan bagian fandom, tp tiap ada member boy/girlgrup keluar tuh rasanya ikut sedih:"",Sad"
dirumah sepi karna lagi pada pergi tanpa diriku;Sad;dirumah sepi karna lagi pada pergi tanpa diriku,Sad
yakaann sedih ga sii pdhl pengen pake jugaa karna lucu gemass;Sad;yakaann sedih ga sii pdhl pengen pake jugaa karna lucu gemass,Sad
aa sedih;Sad;aa sedih,Sad
sedih bgt sedib..;Sad;sedih bgt sedib..,Sad
jam segini udh bangun sedih bgt :(;Sad;jam segini udh bangun sedih bgt :(,Sad
mimpinya kayak nyata, diakhir-akhir dia pergi, nangiss aku sedih beneran anjir, rasanya sedih pake banget;Sad;mimpinya kayak nyata, diakhir-akhir dia pergi, nangiss aku sedih beneran anjir, rasanya sedih pake banget,Sad
mau nomor buat verif sedih akun ke log terus;Sad;mau nomor buat verif sedih akun ke log terus,Sad
sedih banget kok ada orang kayak gitu, rasanya mau ku ulek tau. manusia bukan sih;Sad;sedih banget kok ada orang kayak gitu, rasanya mau ku ulek tau. manusia bukan sih,Sad
sabtu galau, 05 feb 2022 actually ngga yang galau galau banget sih tapi kayak sedih sama ngakak juga entah yang keberapa kalinya suka sama seseorang yang udah punya pacar even though blm officially liat dan denger sendiri dari orangnya or his social media hahhaha;Sad;sabtu galau, 05 feb 2022 actually ngga yang galau galau banget sih tapi kayak sedih sama ngakak juga entah yang keberapa kalinya suka sama seseorang yang udah punya pacar even though blm officially liat dan denger sendiri dari orangnya or his social media hahhaha,Sad
ayang knp sedih? aku sedih juga jadinya;Sad;ayang knp sedih? aku sedih juga jadinya,Sad
why? rasa sedih la hri ni..smlm tgk ada lgi..pgi ni dh takde..hurmm..apapon sangka baikk;Sad;why? rasa sedih la hri ni..smlm tgk ada lgi..pgi ni dh takde..hurmm..apapon sangka baikk,Sad
ga ngikutin sn tapi ikut sedih dengernya;Sad;ga ngikutin sn tapi ikut sedih dengernya,Sad
gue lagi sedih banget loch ges;Sad;gue lagi sedih banget loch ges,Sad
2x suka seseorang dan orang itu suka orang lain. berturut-turut. sedih amat hidup saya :(;Sad;2x suka seseorang dan orang itu suka orang lain. berturut-turut. sedih amat hidup saya :(,Sad
pacar di rebut batur? kalem ulah sedih, nu aya brsyukur eta tandanna gusti allah nyaah ka maneh, geus misahkeun maneh ti jelma nu gampangan.;Sad;pacar di rebut batur? kalem ulah sedih, nu aya brsyukur eta tandanna gusti allah nyaah ka maneh, geus misahkeun maneh ti jelma nu gampangan.,Sad
jujur malah sedih sih liat kenyataan nya;Sad;jujur malah sedih sih liat kenyataan nya,Sad
sedih;Sad;sedih,Sad
sedih juga ka bangun bangun di kolong jembatan, gak tau harus kemana;Sad;sedih juga ka bangun bangun di kolong jembatan, gak tau harus kemana,Sad
mandi sore, soalnya mo les. sedih malem minggu malah les;Sad;mandi sore, soalnya mo les. sedih malem minggu malah les,Sad
yaah, sedih deh;Sad;yaah, sedih deh,Sad
sedih hati syafakillah my fav girl. cepat2 positive cantik n chumils jehh!! see you soon.;Sad;sedih hati syafakillah my fav girl. cepat2 positive cantik n chumils jehh!! see you soon.,Sad
kusut, belum di hibur ama ayang .heh;Sad;kusut, belum di hibur ama ayang .heh,Sad
"kok buna kuat sih? ""kok buna biasa aja?"" percayalah aku pernah ditahap sedih, kecewa dn terluka. tapi saat ini kejelasan yg aku terima membuat rasa itu sembuh sendirinya. berdamai ikhlas, now is 6 + 1 not only 6 or only 1. don't forget vote streaming!";Sad;"kok buna kuat sih? ""kok buna biasa aja?"" percayalah aku pernah ditahap sedih, kecewa dn terluka. tapi saat ini kejelasan yg aku terima membuat rasa itu sembuh sendirinya. berdamai ikhlas, now is 6 + 1 not only 6 or only 1. don't forget vote streaming!,Sad"
kecewa dikit;Sad;kecewa dikit,Sad
kecewa sama diri sendiri;Sad;kecewa sama diri sendiri,Sad
gue kalo liat haechan di tl tuh beneran mellow dah.. soalnya beneran kayak rasanya putus baik-baik, dipaksa putus karena keadaan (nangis dah gw) tapi seneng juga liatnya, kayak, oh dia masih sama kok.. masih as bright as sunshine, masih as sweet as honey. sedih;Sad;gue kalo liat haechan di tl tuh beneran mellow dah.. soalnya beneran kayak rasanya putus baik-baik, dipaksa putus karena keadaan (nangis dah gw) tapi seneng juga liatnya, kayak, oh dia masih sama kok.. masih as bright as sunshine, masih as sweet as honey. sedih,Sad
barca udh mulai negosiasi brng araujo blm sih jgn smpe blunder bkin araujo kecewa;Sad;barca udh mulai negosiasi brng araujo blm sih jgn smpe blunder bkin araujo kecewa,Sad
have u ever. malem2 nonton film ga sedih. tp sedih ngeliat idup lo;Sad;have u ever. malem2 nonton film ga sedih. tp sedih ngeliat idup lo,Sad
soobin :( aku sedih peliharaan kesayangan ku mati. i can't stop crying. kmrn tiba2 g mau minum trs lemes jugak, klo ke dokter hewan jauh dr t4 tinggal ku. i can't lose her :( wht should i do :(;Sad;soobin :( aku sedih peliharaan kesayangan ku mati. i can't stop crying. kmrn tiba2 g mau minum trs lemes jugak, klo ke dokter hewan jauh dr t4 tinggal ku. i can't lose her :( wht should i do :(,Sad
ayang aku yg ini lagi camping kali ya berdua sepi amat ayang;Sad;ayang aku yg ini lagi camping kali ya berdua sepi amat ayang,Sad
sepi amat mentang mentang sabtu;Sad;sepi amat mentang mentang sabtu,Sad
bgstt rambut berlawanan tp iya sedih soalnya nari kek ga tertarik sm chanyang huhu.;Sad;bgstt rambut berlawanan tp iya sedih soalnya nari kek ga tertarik sm chanyang huhu.,Sad
taktau tapi kecewa dengan diri sendiri .;Sad;taktau tapi kecewa dengan diri sendiri .,Sad
jd sedih aq;Sad;jd sedih aq,Sad
kok ikutan sedih ya :(;Sad;kok ikutan sedih ya :(,Sad
bener sih di tempat ku kerja suka ada kakek2 udah tua bgt mata nya katarak jalan nya juga pelan banget kesusahan. dia mikul jualan tape dll kadang udah sore pun dagangan dia masih banyak. aku kadang nangis sendiri ini anak nya mana. serasa ngeliat ayah sendiri sedih banget.;Sad;bener sih di tempat ku kerja suka ada kakek2 udah tua bgt mata nya katarak jalan nya juga pelan banget kesusahan. dia mikul jualan tape dll kadang udah sore pun dagangan dia masih banyak. aku kadang nangis sendiri ini anak nya mana. serasa ngeliat ayah sendiri sedih banget.,Sad
rl ku sumpah messed up ku kira yg online udah fine fine aja jir. taunya.. ya udh kecewa bgt gk si;Sad;rl ku sumpah messed up ku kira yg online udah fine fine aja jir. taunya.. ya udh kecewa bgt gk si,Sad
ko sedih banget diisi ciba biar ga kosong;Sad;ko sedih banget diisi ciba biar ga kosong,Sad
"gaada yang bikin gw seneng selain kabarnya jimin, sedih banget waktu berita sakitnya gw bner"" kepikiran. sampe ga tenang buat tidur juga";Sad;"gaada yang bikin gw seneng selain kabarnya jimin, sedih banget waktu berita sakitnya gw bner"" kepikiran. sampe ga tenang buat tidur juga,Sad"
sedih banget temen gue.;Sad;sedih banget temen gue.,Sad
congratss nderr, mau bangett dong nderr, sedih bangett uda seneng keterima ternyata penipuan perusahaan gede lagi, mo nangis;Sad;congratss nderr, mau bangett dong nderr, sedih bangett uda seneng keterima ternyata penipuan perusahaan gede lagi, mo nangis,Sad
pacarku baru aja diberhentikan dari kerjaanya, karena dari awal ga jujur tentang keinginannya. sedih banget, kasian mana cowo pula. udah ada niatan buat lamaran, tapi malah diberhentikan. semoga segera dapet pekerjaan baru;Sad;pacarku baru aja diberhentikan dari kerjaanya, karena dari awal ga jujur tentang keinginannya. sedih banget, kasian mana cowo pula. udah ada niatan buat lamaran, tapi malah diberhentikan. semoga segera dapet pekerjaan baru,Sad
sedih;Sad;sedih,Sad
terimakasih banyak buat kak olaa yg buat karya sebagus ituu dan makasi buat rumi iyel yang selalu kerenn dan kadang menghiburr guaa dikala gua lg sedih, sekali lagi makasii banyakk loeve u kalian semuaa;Sad;terimakasih banyak buat kak olaa yg buat karya sebagus ituu dan makasi buat rumi iyel yang selalu kerenn dan kadang menghiburr guaa dikala gua lg sedih, sekali lagi makasii banyakk loeve u kalian semuaa,Sad
kalo liat portofolio ijo tuh kaya ada kesenangan tersendiri, tapi giliran liat dompet kosong sedih lg anjir;Sad;kalo liat portofolio ijo tuh kaya ada kesenangan tersendiri, tapi giliran liat dompet kosong sedih lg anjir,Sad
sedih;Sad;sedih,Sad
iya juga¦ gak ada dia dunia tl sepi;Sad;iya juga¦ gak ada dia dunia tl sepi,Sad
ni ngetik sambil sedih apa gimana ni air mata ngucur mulu;Sad;ni ngetik sambil sedih apa gimana ni air mata ngucur mulu,Sad
aku suka gt nder kalo abis pake makeup dan aku kecewa kalo ampe putus kotorannya, sensasi gelinya gadapet;Sad;aku suka gt nder kalo abis pake makeup dan aku kecewa kalo ampe putus kotorannya, sensasi gelinya gadapet,Sad
ya kann, selamat baca au yang sedih sedih dah;Sad;ya kann, selamat baca au yang sedih sedih dah,Sad
sumpah sedih;Sad;sumpah sedih,Sad
"ada ya orang, jumat baru keluar rumah sakit. sore nya tiba2 ""jatoh"", jadinya sedih mulu sampe sekarang. tapi sabtu paginya udah disuruh kekampus sampe malem. alamat masuk rumah sakit lagi ini mah";Sad;"ada ya orang, jumat baru keluar rumah sakit. sore nya tiba2 ""jatoh"", jadinya sedih mulu sampe sekarang. tapi sabtu paginya udah disuruh kekampus sampe malem. alamat masuk rumah sakit lagi ini mah,Sad"
sedih tp lucu tp sedih;Sad;sedih tp lucu tp sedih,Sad
aaaaa sedih banget;Sad;aaaaa sedih banget,Sad
maauu, aku udh sebulan sepi banget :(( spes app prem;Sad;maauu, aku udh sebulan sepi banget :(( spes app prem,Sad
ini sepi bgtt.. pada di fb semua yakk, gw juga sih td bisa²nya bangun tidur yang dicek fb dulu;Sad;ini sepi bgtt.. pada di fb semua yakk, gw juga sih td bisa²nya bangun tidur yang dicek fb dulu,Sad
aku sedih ada anak biologi masi nanya, trs harus dgimanain ya buat tau kenanya omicron ato bukan?;Sad;aku sedih ada anak biologi masi nanya, trs harus dgimanain ya buat tau kenanya omicron ato bukan?,Sad
mumpung masih sedih abis baca unspeakable mari kita lanjut 2ha biar makin makin sedihnya;Sad;mumpung masih sedih abis baca unspeakable mari kita lanjut 2ha biar makin makin sedihnya,Sad
sedih banget;Sad;sedih banget,Sad
sedih banget ketika orang tua ekonomi nya lagi susah tapi berusaha keras untuk kebutuhan anaknya. maafin aku yaa pak, yang selalu nyusahin. semoga nanti bisa berkali-kali lipat buat bahagia ibu dan bapak;Sad;sedih banget ketika orang tua ekonomi nya lagi susah tapi berusaha keras untuk kebutuhan anaknya. maafin aku yaa pak, yang selalu nyusahin. semoga nanti bisa berkali-kali lipat buat bahagia ibu dan bapak,Sad
lebih aneh lagi yg hobi dengerin lagu2 sedih biar bisa sedih;Sad;lebih aneh lagi yg hobi dengerin lagu2 sedih biar bisa sedih,Sad
sedih bgt pagi pagi..;Sad;sedih bgt pagi pagi..,Sad
sedih juga sih, sebenarnya mungkin mrk masih punya rasa bersalah maki2 ulama kcuali pki asli tp krn ekonomi sengaja di rontokkan, drpd mencuri di gebuk dan dibakar org sekampung, pdhl perut lapar smoga yg masih punya iman, cepat nyadar;Sad;sedih juga sih, sebenarnya mungkin mrk masih punya rasa bersalah maki2 ulama kcuali pki asli tp krn ekonomi sengaja di rontokkan, drpd mencuri di gebuk dan dibakar org sekampung, pdhl perut lapar smoga yg masih punya iman, cepat nyadar,Sad
kayanya sihh ga akan ada selca hari ini xixi penonton kecewa;Sad;kayanya sihh ga akan ada selca hari ini xixi penonton kecewa,Sad
nahan tangis gk enak bgt anjirr, ini lagi di sklh;Sad;nahan tangis gk enak bgt anjirr, ini lagi di sklh,Sad
ah aku sedih dengernya;Sad;ah aku sedih dengernya,Sad
lucu banget, yeseo! sayangnya gak punya tiktok, nih. (sedih);Sad;lucu banget, yeseo! sayangnya gak punya tiktok, nih. (sedih),Sad
"denise suara muu hcuwbxja omg sedih si u keluar dari sc tp gpp ayokk banyak"" up vid di yt and debut lg(?) wkwk";Sad;"denise suara muu hcuwbxja omg sedih si u keluar dari sc tp gpp ayokk banyak"" up vid di yt and debut lg(?) wkwk,Sad"
sedih tapi masih pagi;Sad;sedih tapi masih pagi,Sad
setuju, padal aku termasuk orang yg kepo bgt sama ayato pas tahu ayato ke leaks duluan jadi kek kecewa dan ga excited lagi sama ayato mending drip marketingnya dari mihoyo langsung..;Sad;setuju, padal aku termasuk orang yg kepo bgt sama ayato pas tahu ayato ke leaks duluan jadi kek kecewa dan ga excited lagi sama ayato mending drip marketingnya dari mihoyo langsung..,Sad
hal yg sedih pagi ini adlh saat aku ngerasa kasian m diri sndr. saat sadar diri bnyk hal yg harus diperbaiki. saat sadar klo aku gak boleh terus²an kayak gini. saat aku harus lebih berani utk terima perubahan. saat aku harus menguatkan diri utk sekedar mencoba;Sad;hal yg sedih pagi ini adlh saat aku ngerasa kasian m diri sndr. saat sadar diri bnyk hal yg harus diperbaiki. saat sadar klo aku gak boleh terus²an kayak gini. saat aku harus lebih berani utk terima perubahan. saat aku harus menguatkan diri utk sekedar mencoba,Sad
sedih bangett dia dapetnya kacang garuda;Sad;sedih bangett dia dapetnya kacang garuda,Sad
makanya bersiap kecewa sama wakilnya sendiri..;Sad;makanya bersiap kecewa sama wakilnya sendiri..,Sad
twt w mulai nga jelas ni keknya, mulai sedih, marah, kesel, nyinyir, lambe turah. bukan kind human lagi:(.. ok let's go ke pak ayi, aku ngobatin mental ku dulu gais;Sad;twt w mulai nga jelas ni keknya, mulai sedih, marah, kesel, nyinyir, lambe turah. bukan kind human lagi:(.. ok let's go ke pak ayi, aku ngobatin mental ku dulu gais,Sad
aku sedih diputusin pacar, katanya aku udah gak tampan, gak mapan. aku harus bilang apa? “ akurapopo ¦;Sad;aku sedih diputusin pacar, katanya aku udah gak tampan, gak mapan. aku harus bilang apa? “ akurapopo ¦,Sad
sepi btul, mending ke priv sj;Sad;sepi btul, mending ke priv sj,Sad
sedih juga ya ninggalin rumah yg udh belasan tahun ditinggali :');Sad;sedih juga ya ninggalin rumah yg udh belasan tahun ditinggali :'),Sad
cr7: kenapa sedih banget tampaknya kau adekku? elanga: iya bang, mo gimana lagi ga sedih, lha wong abang kesayanganku, si bang anthony martial pergi. cr7: stress.;Sad;cr7: kenapa sedih banget tampaknya kau adekku? elanga: iya bang, mo gimana lagi ga sedih, lha wong abang kesayanganku, si bang anthony martial pergi. cr7: stress.,Sad
mimpi zombie, trus drama banget lah sedih gitu. akhirnya gja kegigit dan jadi zombie tapi zombie yang sadar gitu bisa ngendaliin diri. trus ada anak svt lupa siapa;Sad;mimpi zombie, trus drama banget lah sedih gitu. akhirnya gja kegigit dan jadi zombie tapi zombie yang sadar gitu bisa ngendaliin diri. trus ada anak svt lupa siapa,Sad
ini saya tidak tau harus sedih atau tertawa. semangat mbarnim, semoga bisa kembali lagi hubungannya. ^^;Sad;ini saya tidak tau harus sedih atau tertawa. semangat mbarnim, semoga bisa kembali lagi hubungannya. ^^,Sad
karna rasa kecewa itu lebih besar dari pada rasa cinta:);Sad;karna rasa kecewa itu lebih besar dari pada rasa cinta:),Sad
like i understandd gue jg apal lagu2nya mostly krn gue gapernah absen nonton pensi festival.. and ofc not everyone grew up listening to the same songs as me tp tetep aja sedih dikit hikss;Sad;like i understandd gue jg apal lagu2nya mostly krn gue gapernah absen nonton pensi festival.. and ofc not everyone grew up listening to the same songs as me tp tetep aja sedih dikit hikss,Sad
jangan sedih dong karina;Sad;jangan sedih dong karina,Sad
sepi disini;Sad;sepi disini,Sad
iyaa ih sedih banget baru cek ternyata ga bisa;Sad;iyaa ih sedih banget baru cek ternyata ga bisa,Sad
sedih si sebenernya tapi thank you denise sudah bekerja keras saat bersama semoga uri mm maknae lockey bisa sukses terus ya berkarir diluar sana ditunggu karya denise yang lainnya, dan musik yang denise suka bisa segera menjadi album ya;Sad;sedih si sebenernya tapi thank you denise sudah bekerja keras saat bersama semoga uri mm maknae lockey bisa sukses terus ya berkarir diluar sana ditunggu karya denise yang lainnya, dan musik yang denise suka bisa segera menjadi album ya,Sad
fun fact, menggaruk bagian gatal itu engga bikin gatalnya hilang, yang ada malah kulitnya iritasi. sama kayak kalo lagi patah hati lebih milih galau n dengerin lagu2 sedih. emang kitanya suka nyakitin diri sendiri ya kayaknya..;Sad;fun fact, menggaruk bagian gatal itu engga bikin gatalnya hilang, yang ada malah kulitnya iritasi. sama kayak kalo lagi patah hati lebih milih galau n dengerin lagu2 sedih. emang kitanya suka nyakitin diri sendiri ya kayaknya..,Sad
ig temen gw story nyh denise semua emang sedih tapi mau gimana lg ini udah keputusan dia,tetap dukung secret number n denise lockey .;Sad;ig temen gw story nyh denise semua emang sedih tapi mau gimana lg ini udah keputusan dia,tetap dukung secret number n denise lockey .,Sad
sedih ku cukup aku yg tau,kamu cukup tau bahwa aku baik-baik saja.:');Sad;sedih ku cukup aku yg tau,kamu cukup tau bahwa aku baik-baik saja.:'),Sad
baru bangun rumah dh sepi, gatau pada kemana jadi kesepian;Sad;baru bangun rumah dh sepi, gatau pada kemana jadi kesepian,Sad
ada apa ini.?..kok sepi banget. cc;Sad;ada apa ini.?..kok sepi banget. cc,Sad
woylah sedih bangett;Sad;woylah sedih bangett,Sad
may all goes well ya kakaak walaupun gitu-gitu aja like you said. oh iya stay safe and stay healthy soalnya kasus di sana udah mulai naik.. it™s concerning t . t i™m doing all fine kok, stress sedih dikit tapi gapapa aku kuat hihi :3;Sad;may all goes well ya kakaak walaupun gitu-gitu aja like you said. oh iya stay safe and stay healthy soalnya kasus di sana udah mulai naik.. it™s concerning t . t i™m doing all fine kok, stress sedih dikit tapi gapapa aku kuat hihi :3,Sad
yahh sedih;Sad;yahh sedih,Sad
ko sepi lgi yanc;Sad;ko sepi lgi yanc,Sad
tp kecewa bgt dia grgr aku gak ucapin;Sad;tp kecewa bgt dia grgr aku gak ucapin,Sad
innalillahi wainna ilaihi rojiun semoga almarhumah ibu diterima amal baik nya dan diampuni segala kekhilafannya yang sabar ya jayen,pasti sangat sedih kehilangan orang tua.;Sad;innalillahi wainna ilaihi rojiun semoga almarhumah ibu diterima amal baik nya dan diampuni segala kekhilafannya yang sabar ya jayen,pasti sangat sedih kehilangan orang tua.,Sad
masih sedih;Sad;masih sedih,Sad
kertas hiyo cakep banget, baru liat sekarang, itu udah dari tanggal 23 jan, sedih. ini hiyo beneran cantikk;Sad;kertas hiyo cakep banget, baru liat sekarang, itu udah dari tanggal 23 jan, sedih. ini hiyo beneran cantikk,Sad
"bangun, ngumpulin nyawa, tiba-tiba ngerasa sedih.. ""anak jepangku kemana ya?!"" inilah gambaran pagiku selama dua minggu gada kabar dr tp harus ttp semangat! pasti bisa!";Sad;"bangun, ngumpulin nyawa, tiba-tiba ngerasa sedih.. ""anak jepangku kemana ya?!"" inilah gambaran pagiku selama dua minggu gada kabar dr tp harus ttp semangat! pasti bisa!,Sad"
terbunuh sepi 8/10 bukan lagu boyband, tapi dibawain mereka jadi keren bgt dg harmonisasi yg wowow bikin mrinding, disini bener2 nunjukin kualitas vocal mereka sih;Sad;terbunuh sepi 8/10 bukan lagu boyband, tapi dibawain mereka jadi keren bgt dg harmonisasi yg wowow bikin mrinding, disini bener2 nunjukin kualitas vocal mereka sih,Sad
jgn gitu dong bang.. jadi sedih neh;Sad;jgn gitu dong bang.. jadi sedih neh,Sad
sedih suffer kecewa;Sad;sedih suffer kecewa,Sad
aku bingung mau sedih atau seneng i vote for for the at the :(;Sad;aku bingung mau sedih atau seneng i vote for for the at the :(,Sad
siapa yang merubah hatiku siapa yang membuat kita satu selalu menyatu beban kecewa namun tak kan ku kan berakhir;Sad;siapa yang merubah hatiku siapa yang membuat kita satu selalu menyatu beban kecewa namun tak kan ku kan berakhir,Sad
rumah sepi nihh;Sad;rumah sepi nihh,Sad
